job_title,job_detail_url,job_listed,company_name,company_link,company_location
Data Scientist - Paris,https://fr.linkedin.com/jobs/view/data-scientist-paris-at-lesjeudis-3974356559?refId=jym28f1lqHkMRiAYl%2FfK6w%3D%3D&trackingId=SXIJqXcvBg0PDyk%2FIoL3RQ%3D%3D&position=7&pageNum=6&trk=public_jobs_jserp-result_search-card,7 hours ago,LesJeudis,https://fr.linkedin.com/company/lesjeudis.com?trk=public_jobs_jserp-result_job-search-card-subtitle,"Paris, Île-de-France, France"
Développeur Backend Golang / Python (H/F),https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-backend-golang-python-h-f-at-ateme-3960274005?refId=jym28f1lqHkMRiAYl%2FfK6w%3D%3D&trackingId=1Xz9hrzNlc7JmBbl2nKwDw%3D%3D&position=8&pageNum=6&trk=public_jobs_jserp-result_search-card,1 month ago,Ateme,https://fr.linkedin.com/company/ateme?trk=public_jobs_jserp-result_job-search-card-subtitle,"Rennes, Brittany, France"
Développeur Fullstack Python H/F,https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-fullstack-python-h-f-at-seyos-3974934640?refId=jym28f1lqHkMRiAYl%2FfK6w%3D%3D&trackingId=9hkuZmluXwunZNsffZAuHA%3D%3D&position=9&pageNum=6&trk=public_jobs_jserp-result_search-card,2 hours ago,Seyos,https://fr.linkedin.com/company/seyos-recrutement-it?trk=public_jobs_jserp-result_job-search-card-subtitle,"Schiltigheim, Grand Est, France"
CDI - Développeur - Python (H/F),https://fr.linkedin.com/jobs/view/cdi-d%C3%A9veloppeur-python-h-f-at-lundi-matin-3949661844?refId=jym28f1lqHkMRiAYl%2FfK6w%3D%3D&trackingId=WDWH5y%2BYbRljTd9R4gFZ%2Bg%3D%3D&position=10&pageNum=6&trk=public_jobs_jserp-result_search-card,4 weeks ago,LUNDI MATIN Group,https://fr.linkedin.com/company/lundi-matin-sas?trk=public_jobs_jserp-result_job-search-card-subtitle,"Montpellier, Occitanie, France"
Développeur Python H/F,https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-python-h-f-at-seyos-3971381656?refId=jym28f1lqHkMRiAYl%2FfK6w%3D%3D&trackingId=useVX8ctRHU6CBj%2BV8cl7g%3D%3D&position=11&pageNum=6&trk=public_jobs_jserp-result_search-card,3 days ago,Seyos,https://fr.linkedin.com/company/seyos-recrutement-it?trk=public_jobs_jserp-result_job-search-card-subtitle,"Béziers, Occitanie, France"
Développeur Python/Développeuse Python,https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-python-d%C3%A9veloppeuse-python-at-visian-3965562353?refId=jym28f1lqHkMRiAYl%2FfK6w%3D%3D&trackingId=JqIw9sfgXG0Gon6TritRIw%3D%3D&position=12&pageNum=6&trk=public_jobs_jserp-result_search-card,1 week ago,Visian,https://fr.linkedin.com/company/visian-team?trk=public_jobs_jserp-result_job-search-card-subtitle,"Courbevoie, Île-de-France, France"
Engineer,https://fr.linkedin.com/jobs/view/engineer-at-kadant-lamort-sas-3973417334?refId=jym28f1lqHkMRiAYl%2FfK6w%3D%3D&trackingId=7LBlxwcihRiY6W9v3pvPog%3D%3D&position=13&pageNum=6&trk=public_jobs_jserp-result_search-card,15 hours ago,KADANT LAMORT SAS,https://fr.linkedin.com/company/kadant-lamort?trk=public_jobs_jserp-result_job-search-card-subtitle,"Grenoble, Auvergne-Rhône-Alpes, France"
Développeur Python - H/F - Toulouse,https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-python-h-f-toulouse-at-lesjeudis-3974349735?refId=jym28f1lqHkMRiAYl%2FfK6w%3D%3D&trackingId=Z2t7bogs2ygV942ZeCFY1w%3D%3D&position=14&pageNum=6&trk=public_jobs_jserp-result_search-card,7 hours ago,LesJeudis,https://fr.linkedin.com/company/lesjeudis.com?trk=public_jobs_jserp-result_job-search-card-subtitle,"Toulouse, Occitanie, France"
Développeur Python (back),https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-python-back-at-proxiad-3858807932?refId=jym28f1lqHkMRiAYl%2FfK6w%3D%3D&trackingId=gjhtDeZ16nueAhkYpznbJw%3D%3D&position=15&pageNum=6&trk=public_jobs_jserp-result_search-card,1 month ago,PROXIAD,https://fr.linkedin.com/company/proxiadfrance?trk=public_jobs_jserp-result_job-search-card-subtitle,"Nantes, Pays de la Loire, France"
Backend Developer @ start-up,https://fr.linkedin.com/jobs/view/backend-developer-%40-start-up-at-lesjeudis-3974357499?refId=jym28f1lqHkMRiAYl%2FfK6w%3D%3D&trackingId=%2Bkj%2BfsEFQtJJ4Mdq0RH0Kg%3D%3D&position=16&pageNum=6&trk=public_jobs_jserp-result_search-card,7 hours ago,LesJeudis,https://fr.linkedin.com/company/lesjeudis.com?trk=public_jobs_jserp-result_job-search-card-subtitle,"Paris, Île-de-France, France"
